Category Word
fruit apple
fruit apricot
fruit avocado
fruit banana
fruit blackberry
fruit blackcurrant
fruit blueberry
fruit boysenberry
fruit cherry
fruit coconut
fruit fig
fruit grape
fruit grapefruit
fruit lemon
fruit lime
fruit lychee
fruit mandarin
fruit mango
fruit melon
fruit nectarine
fruit orange
fruit papaya
fruit peach
fruit pear
fruit pineapple
fruit plum
fruit pomegranate
fruit quince
fruit raspberry
fruit strawberry
fruit watermelon
colour black
colour brown
colour grey
colour white
colour yellow
colour orange
colour red
colour pink
colour purple
colour blue
colour green
