Categoria Palavra
fruta abacate
fruta abacaxi
fruta alfarroba
fruta ameixa
fruta amendoa
fruta amora
fruta ananas
fruta avela
fruta banana
fruta cacau
fruta castanha
fruta cereja
fruta coco
fruta figo
fruta framboesa
fruta kiwi
fruta laranja
fruta lima
fruta limao
fruta maracuja
fruta marmelo
fruta melancia
fruta melao
fruta meloa
fruta mirtilo
fruta morango
fruta nectarina
fruta nespera
fruta noz
fruta pera
fruta pessego
fruta tangerina
fruta tamara
fruta toranja
fruta uva
cor preto
cor castanho
cor cinzento
cor branco
cor amarelo
cor laranja
cor vermelho
cor rosa
cor roxo
cor azul
cor verde
